team,possession_pct,passes_per_min,pressures_per_min,avg_shot_distance,total_xg,match_id,result
Poland,43.45863392561466,4.712482418872906,2.124824662081087,17.185183769858092,1.114197838,7555,loss
Japan,52.64631507532265,5.062932050385406,1.5529161331014063,16.277014329542844,1.012543586,7556,draw
Senegal,47.35368492467736,4.16947345325857,1.4784612500075032,16.329686796343672,1.878264293,7556,draw
Iran,27.71221976563611,2.457162414765294,1.4496230145686462,17.10564463024188,1.5769696039999999,7557,draw
Portugal,72.28778023436388,6.477039001264164,1.675805328898506,21.322005657144583,1.5224178248,7557,draw
Russia,44.547268231713566,4.016205700022487,2.30403379632869,22.099870112174766,0.180184531,7558,loss
Uruguay,55.452731768286434,5.559274205820601,1.5430685057981135,21.135956725395403,2.4825809298,7558,win
Egypt,34.95826140001244,3.966509639282997,1.8628989862595606,20.07026975312095,0.92372594,7559,loss
Saudi Arabia,65.04173859998757,7.053898408645752,2.0722134790977136,22.075074272829262,2.545815476,7559,win
Morocco,24.505683211066188,2.5943152186634086,2.759689893956694,16.202125231204604,1.071760675,7560,draw
Spain,75.49431678893382,7.782945655990226,1.447028408816244,15.153094223527802,2.6044931,7560,draw
Croatia,61.553163351017105,5.685440959772148,2.2954303688052033,24.46540551618851,0.673928797,7561,win
Iceland,38.446836648982895,3.517534500345011,2.4654622479759594,17.35802283925271,2.1326869015,7561,loss
Australia,57.76082062201887,6.112685973288243,2.593905004317098,16.043056821250815,1.655319275,7562,loss
Peru,42.23917937798114,4.581856790412579,2.126151642882867,19.880620237100313,0.3363750876,7562,win
Denmark,34.71570115906233,3.672811845289295,2.0619294570045166,29.22290380445842,0.13895808480000002,7563,draw
France,65.28429884093768,7.506711929407068,0.9772686488927657,23.945477333580047,0.418140495,7563,draw
Argentina,72.65779155054327,6.296296229668823,1.4179894029842393,16.821113811181153,0.850559859,7564,win
Nigeria,27.34220844945674,3.4074073713501867,3.195767161949554,21.118750586782625,1.3053451809999999,7564,loss
Brazil,56.89682572202835,7.017732326515505,1.1176786553715352,17.53315484712631,1.420267842,7565,win
Serbia,43.10317427797164,4.803868836068041,3.954862934391586,17.10150396910544,0.947791672,7565,loss
Mexico,73.89823132284187,5.393735564745331,0.944965482799871,21.642219230715128,1.6107035277,7566,loss
